"artist","artist_id"
"Donald Byrd",1
"Grant Green",2
"Gene Ammons",3
"Hubert Laws",4
"Elvin Jones",5
"Joe Henderson",6
"Freddie Hubbard",7
"Stanley Turrentine",8
"Herbie Hancock",9
"Ron Carter",10
"Jack DeJohnette",11
"Eric Gale",12
"Gerry Mulligan",13
"Chet Baker",14
"Horace Silver",15
"The Ornette Coleman Trio",16
"Mel Powell",17
"Dianne Reeves",18
"Fuse One",19
"The Modern Jazz Quartet",20
"George Benson",21
"Various",22
"Sonny Rollins",23
"DJ Pogo",24
"Roy Haynes",25
"Phineas Newborn*",26
"Paul Chambers (3)",27
"Thelonious Monk",28
"Kenny Burrell",29
"Art Blakey And The Jazz Messengers*",30
"Bill Evans",31
"Deodato*",32
"New York Jazz Quartet",33
"George Benson Guest: Hubert Laws",34
"Esther Phillips",35
"Joe Farrell",36
"Patti Austin",37
"David Matthews*",38
"Whirlwind",39
"Hank Crawford",40
"Pee Wee Russell",41
"George Wein",42
"The Newport All-Stars",43
"Charles Tyler",44
"Jack Walrath",45
"Jim McNeely",46
"Joe Chambers",47
"Friends*",48
"Yoshiaki Masuo",49
"McCoy Tyner",50
"Elvin Jones = McCoy Tyner Quintet*",51
"Benny Golson",52
"Urszula*",53
"Harumi Kaneko",54
"Abdullah Ibrahim",55
"Dollar Brand",56
"The New York Jazz Quartet*",57
"CTI All Stars*",58
"Buster Williams",59
"Either/Orchestra",60
"Charles Fambrough",61
"Christopher Hollyday",62
"Milton Nascimento",63
"Jackie McLean",64
"Hank Jones",65
"Larry Coryell",66
"Flip Phillips",67
"Bill O'Connell",68
"Elvin Jones and George Mraz",69
"Steve Grossman + Cedar Walton Trio",70
"Benny Green",71
"The Teodross Avery Quartet",72
"Grover Washington, Jr.",73
"Barney Wilen Quartet",74
"The N.Y. Hardbop Quintet",75
"Keiji Matsushima",76
"Claude Williamson Trio*",77
"Steve Turre",78
"Summit Reunion",79
"CTI All-Stars",80
"Bill Crow Quartet",81
"Scott Whitfield",82
"The Pratt Brothers Big Band*",83
"Junko Moriya",84
"Roni Ben-Hur Trio",85
"Renee Rosnes",86
"The Bill Crow Quartet*",87
"Barry Harris Trio",88
"Mike LeDonne",89
"Eric Alexander Quartet",90
"The Seatbelts = シートベルツ*",91
"Cedar Walton",92
"Steve Nelson Quartet",93
"Harris*",94
"Moran*",95
"Osby*",96
"Shim*",97
"Boston Brass",98
"Hideaki Yoshioka",99
"Arthur Taylor*",100
"Chris Connor",101
"Houston Person",102
"Santi Debriano",103
"Teddy Edwards",104
"Eric Alexander",105
"Vincent Herring",106
"Plas Johnson",107
"Red Holloway",108
"The Don Sickler Quintet*",109
"Charles Earland Tribute Band",110
"Charles Earland",111
"Joey DeFrancesco",112
"George Coleman",113
"Jim Hall",114
"New Stories",115
"David "Fathead" Newman",116
"Reuben Wilson",117
"Stan Hope",118
"Bill Charlap",119
"Louis Hayes And The Cannonball Legacy Band*",120
"John Hicks",121
"Frank Morgan",122
"Meredith d'Ambrosio*",123
"Larry Willis Trio",124
"Terry Plumeri",125
"Tom Harrell",126
"Freddy Cole",127
"The Bill Charlap Trio",128
"Jim Snidero",129
"Jeff Hackworth",130
"Joe Beck",131
"Larry Willis",132
"Bobby Hutcherson",133
"Scott Hamilton",134
"Friends",135
"Jon Irabagon",136
"Jeremy Pelt",137
"The CTI Jazz All-Star Band*",138
"Christian Scott (2)",139
"Rob Mostert",140
"Massimo Faraò",141
"Cecilia Coleman Big Band",142
"Harold Mabern",143
"John Coltrane",144
"The Seatbelts",145
"Seatbelts*",146
"Yoko Kanno",147
"Fletcher Henderson",148
"Eric Dolphy",149
"Ted Lewis And His Orchestra",150
"Edwin Franko Goldman",151
"The Goldman Band",152
"Fritz Lehmann",153
"Bach*",154
"Dietrich Fischer-Dieskau",155
"Elfride Trötschel",156
"Diana Eutrati*",157
"Friedrich Haertel",158
"Helmut Krebs",159
"Boys Choir Of St. Hedwig's Cathedral*",160
"Orchestra Of The Berlin Radio*",161
"Chorus Of The Berlin Radio*",162
"Beethoven*",163
"Akademie Kammerchor*",164
"Vienna symphony Orchestra* Conductor Prof. R. Moralt*",165
"Gluck*",166
"Alice Raveau",167
"Sonny Stitt",168
"Franklyn MacCormack",169
"Lennie Tristano",170
"Clifford Brown",171
"Thelonious Monk Trio",172
"Urbie Green Septet*",173
"George Feyer",174
"Weber*",175
"Friedrich Wuehrer*",176
"Pro Musica Symphony Vienna*",177
"Hans Swarowsky",178
"J.J. Johnson",179
"Kai Winding",180
"Benny Green*",181
"Willie Dennis",182
"Bud Powell",183
"Jimmy Raney Quartet",184
"The Lee Brothers (2)",185
"Julius Watkins Sextet",186
"Miles Davis Quintet*",187
"Thelonious Monk Quintet*",188
"Sonny Rollins Quintet",189
"Kenny Dorham",190
"King Pleasure",191
"Miles Davis",192
"Carl Orff",193
"Heinrich Hollreiser",194
"Wilbert Harrison",195
"Bob Brookmeyer Quartet*",196
"Milt Jackson Quintet",197
"Friedrike Sailer*",198
"Johannes Feyerabend",199
"Bruno Mueller*",200
"Pro Musica Orchestra",201
"Stuttgart* Conducted By Rolf Reinhardt",202
"The Billy Taylor Trio* And Candido",203
"Sal Salvador Quintet",204
"The Miles Davis Sextet",205
"The Gil Mellé Quartet*",206
"Lou Mecca",207
"Jay*",208
"Kai*",209
"Tal Farlow Quartet*",210
"The Frank Foster Quintet",211
"Art Farmer And His Band*",212
"Teddy Charles West Coasters*",213
"Wardell Gray",214
"Teddy Charles New Directions*",215
"Billy Taylor Trio",216
"Kenny Clarke",217
"Erroll Garner",218
"Billy Taylor",219
"John Mehegan",220
"Bud Freeman Quintet",221
"Ruby Braff",222
"Bobby Sherwood And His Orchestra",223
"John Mehegan Trio",224
"Jerri Winters",225
"Sidney Bechet",226
"Mozart*",227
"Guiomar Novaes",228
"Freddie Redd",229
"The Milt Jackson Quartet",230
"Jimmy Raney",231
"Bobby Scott",232
"Wally Cirillo",233
"Ernie Wilkins",234
"Hazel Scott",235
"Milt Jackson Quartet*",236
"Jay* And Kai*",237
"Hank Mobley Quartet",238
"The Joe Roland Quintet",239
"Gil Mellé Quintet",240
"Don Butterfield",241
"Elmo Hope Quartet And Quintet*",242
"Richard Strauss",243
"Julian "Cannonball" Adderley*",244
"Nat Adderley",245
"Jerome Richardson",246
"Stan Getz",247
"The Billy Taylor Trio*",248
"Duke Jordan",249
"Miles Davis Quartet*",250
"Frank Wess",251
"Eddie Jones",252
"Gene Ammons All Stars*",253
"Eddie Bert",254
"James Moody",255
"Sonny Rollins And Thelonious Monk",256
"Arnold Goldberg",257
"Al Collins*",258
"Ray McKinley's Orchestra* Arr. By Eddie Sauter",259
"Phil Woods New Jazz Quintet",260
"Jon Eardley",261
"Horace Silver Quintet*",262
""Wild Bill" Davison* And Art Hodes",263
"Horace Silver And The Jazz Messengers*",264
"Charles Mingus",265
"Thad Jones",266
"Prokofiev*",267
"Britten*",268
"Brandon De Wilde",269
"Pro Musica Symphony",270
"Vienna*",271
"Urbie Green",272
"Herb Zane And Orchestra*",273
"Richard Dyer-Bennet",274
"Jay Jay Johnson*",275
"Dizzy Gillespie",276
"The Australian Jazz Quartet",277
"Phil Urso",278
"Teddy Charles N. D. Quartet* Introducing J. R. Montrose*",279
"Marian McPartland",280
"Joe Bushkin",281
"Miles Davis All Stars",282
"Milt Jackson",283
"Paris Philharmonia Orchestra*",284
"Jascha Horenstein",285
"Bennie Green Sextet",286
""Wild Bill" Davison* and Art Hodes",287
"George Lewis And His New Orleans Stompers",288
"Art Farmer",289
"Chopin*",290
"Pergolesi*",291
"Boccherini*",292
"Camillo Wanausek ",293
"Flute",294
"Charles Adler*",295
"Michael Gielen",296
"Varetta Dillard",297
"La Vergne Smith",298
"Herbie Nichols",299
"Lee Konitz",300
"Tristano*",301
"Marsh*",302
"Bauer*",303
"Charlie Parker",304
"Chuz Alfred",305
"Ola Hanson",306
"Chuck Lee",307
"Vinnie Burke",308
"Bob Brookmeyer",309
"Bud Freeman",310
"Eddie Costa W/ Vinnie Burke",311
"Red Allen* – Cozy Cole – Charlie Shavers",312
"Jimmy Scott",313
"John Lewis (2)",314
"Percy Heath",315
"Lou Donaldson And The Thelonious Monk Quintet",316
"Wild Bill Davison",317
"Howard McGhee",318
"Julian "Cannon Ball" Adderley*",319
"Charles Mingus Sextet",320
"Mike Cuozzo",321
"Elmo Hope",322
"Friedrich Wührer",323
"Pro Musica Orchestra Vienna*",324
"Quincy Jones And His Band*",325
"Billy Bauer Quartet",326
"Don Marino Barreto Jr. And His Cuban Orchestra",327
"Punch Miller",328
"Mutt Carey",329
"The New Miles Davis Quintet*",330
"Art Blakey",331
"Lou Donaldson",332
"Bernie Privin And His Orchestra",333
"Jimmy Smith",334
"Billie Holiday",335
"Nassau Jazz Band",336
"Woody Herman",337
"Jazz At The Philharmonic",338
"Ferko String Band*",339
"Johnny Griffin",340
"Richard Wagner",341
"Rhineland Symphony Orchestra Conductor Alfred Federer",342
"Johnny Janis",343
"Gabor Radics And His Family*",344
"Art Pepper",345
"Oscar Peterson",346
"Beethoven* − Friedrich Wührer",347
"Woods*",348
"Byrd*",349
"Nappy Brown",350
"Dvorak*",351
"Smetana*",352
"Trio Di Bolzano",353
"The Red Garland Trio",354
"Paul Chambers (3) And Art Taylor",355
"Phil Woods Quartet*",356
"Johnny Green And His Orchestra",357
"Buddy Clark (3)",358
"Bob Banks*",359
"Ludwig van Beethoven",360
"Clemens Krauss",361
"Babs Gonzales Sings",362
"The Jimmy Smith Trio*",363
"Phineas Newborn Jr.",364
"Ray Marco",365
"Liszt*",366
"Enesco* – Sinfonietta De Vienne*",367
"Ernst Graf",368
"Charlie Mariano",369
"Count Basie",370
"Cal Tjader",371
"Don Elliott",372
"Bennie Green",373
"Joe Williams",374
"Schumann*",375
"Schubert*",376
"Gaspar Cassado*",377
"Bamberg Symphony*",378
"Jonel Perlea",379
"The Jive Bombers",380
"The Incredible Jimmy Smith*",381
"Claire Coci",382
"Henry Coker",383
"Bill Hughes (2)",384
"Jimmy Cleveland",385
"Benny Powell",386
"The Art Farmer Septet",387
"Hal Stein",388
"Warren Fitzgerald (2)",389
"The Quartet*",390
"Lester Young",391
"Marlene*",392
"Slam Stewart",393
