"source","target","year","title","type"
"Freddie Hubbard", "Stanley Turrentine","1974", "In Concert Volume One","master"
"Freddie Hubbard", "Rudy Van Gelder","1974", "In Concert Volume One","master"
"Stanley Turrentine", "Rudy Van Gelder","1974", "In Concert Volume One","master"
"Herbie Hancock", "Freddie Hubbard","1974", "In Concert Volume Two","master"
"Herbie Hancock", "Stanley Turrentine","1974", "In Concert Volume Two","master"
"Herbie Hancock", "Ron Carter","1974", "In Concert Volume Two","master"
"Herbie Hancock", "Jack DeJohnette","1974", "In Concert Volume Two","master"
"Herbie Hancock", "Eric Gale","1974", "In Concert Volume Two","master"
"Freddie Hubbard", "Stanley Turrentine","1974", "In Concert Volume Two","master"
"Freddie Hubbard", "Ron Carter","1974", "In Concert Volume Two","master"
"Freddie Hubbard", "Jack DeJohnette","1974", "In Concert Volume Two","master"
"Freddie Hubbard", "Eric Gale","1974", "In Concert Volume Two","master"
"Stanley Turrentine", "Ron Carter","1974", "In Concert Volume Two","master"
"Stanley Turrentine", "Jack DeJohnette","1974", "In Concert Volume Two","master"
"Stanley Turrentine", "Eric Gale","1974", "In Concert Volume Two","master"
"Ron Carter", "Jack DeJohnette","1974", "In Concert Volume Two","master"
"Ron Carter", "Eric Gale","1974", "In Concert Volume Two","master"
"Jack DeJohnette", "Eric Gale","1974", "In Concert Volume Two","master"
"Herbie Hancock", "Rudy Van Gelder","1974", "In Concert Volume Two","master"
"Freddie Hubbard", "Rudy Van Gelder","1974", "In Concert Volume Two","master"
"Stanley Turrentine", "Rudy Van Gelder","1974", "In Concert Volume Two","master"
"Ron Carter", "Rudy Van Gelder","1974", "In Concert Volume Two","master"
"Jack DeJohnette", "Rudy Van Gelder","1974", "In Concert Volume Two","master"
"Eric Gale", "Rudy Van Gelder","1974", "In Concert Volume Two","master"
"Gerry Mulligan", "Chet Baker","1975", "Carnegie Hall Concert Volume 1","master"
"Gerry Mulligan", "Rudy Van Gelder","1975", "Carnegie Hall Concert Volume 1","master"
"Chet Baker", "Rudy Van Gelder","1975", "Carnegie Hall Concert Volume 1","master"
"Gerry Mulligan", "Chet Baker","1975", "Carnegie Hall Concert - Volume 2","master"
